Time(s),CH1V,CH2V
-5.000000e-04,1.333333e-03,-2.090667e-04
-4.990000e-04,2.133333e-03,-1.210667e-04
-4.980000e-04,4.533333e-03,-1.533333e-04
-4.970000e-04,2.533333e-03,-1.893333e-05
-4.960000e-04,0.000000e+00,-1.064000e-04
-4.950000e-04,2.800000e-03,-1.941333e-04
-4.940000e-04,4.933333e-03,-9.946666e-05
-4.930000e-04,2.666667e-03,-3.093333e-05
-4.920000e-04,1.333333e-04,-1.165333e-04
-4.910000e-04,4.266667e-03,-1.650667e-04
-4.900000e-04,4.666667e-03,-8.453333e-05
-4.890000e-04,2.266667e-03,-1.274667e-04
-4.880000e-04,1.200000e-03,-1.048000e-04
-4.870000e-04,3.066667e-03,-1.488000e-04
-4.860000e-04,3.733333e-03,-1.165333e-04
-4.850000e-04,3.600000e-03,-1.240000e-04
-4.840000e-04,6.666667e-04,-6.133333e-05
-4.830000e-04,2.666667e-03,-1.477333e-04
-4.820000e-04,4.133333e-03,-3.306667e-05
-4.810000e-04,2.266667e-03,-1.101333e-04
-4.800000e-04,2.800000e-03,-1.042667e-04
-4.790000e-04,2.800000e-03,-1.658667e-04
-4.780000e-04,4.933333e-03,-9.679999e-05
-4.770000e-04,2.933333e-03,-6.933333e-05
-4.760000e-04,8.000000e-04,-1.784000e-04
-4.750000e-04,2.800000e-03,-2.360000e-04
-4.740000e-04,3.600000e-03,-2.906667e-05
-4.730000e-04,2.800000e-03,-1.770667e-04
-4.720000e-04,8.000000e-04,-7.493333e-05
-4.710000e-04,3.200000e-03,-1.429333e-04
-4.700000e-04,5.600000e-03,-2.216000e-04
-4.690000e-04,3.333333e-03,-1.893333e-04
-4.680000e-04,1.466667e-03,-1.730667e-04
-4.670000e-04,3.066667e-03,-1.160000e-04
-4.660000e-04,5.733334e-03,-1.565333e-04
-4.650000e-04,2.933333e-03,-6.213333e-05
-4.640000e-04,2.533333e-03,-1.490667e-04
-4.630000e-04,2.533333e-03,-1.437333e-04
-4.620000e-04,4.933333e-03,-2.077333e-04
-4.610000e-04,3.066667e-03,-6.720000e-05
-4.600000e-04,1.200000e-03,-1.157333e-04
-4.590000e-04,2.800000e-03,-1.765333e-04
-4.580000e-04,4.133333e-03,-2.461333e-04
-4.570000e-04,2.800000e-03,9.866666e-06
-4.560000e-04,1.333333e-03,-1.037333e-04
-4.550000e-04,3.333333e-03,-7.360000e-05
-4.540000e-04,4.266667e-03,-9.679999e-05
-4.530000e-04,2.266667e-03,-7.600000e-05
-4.520000e-04,1.066667e-03,-5.386666e-05
-4.510000e-04,2.133333e-03,-1.109333e-04
-4.500000e-04,5.200000e-03,-7.946666e-05
-4.490000e-04,3.733333e-03,-1.474667e-04
-4.480000e-04,2.933333e-03,-6.320000e-05
-4.470000e-04,3.466667e-03,-8.186667e-05
-4.460000e-04,4.933333e-03,-1.221333e-04
-4.450000e-04,3.200000e-03,-1.021333e-04
-4.440000e-04,1.466667e-03,-1.693333e-04
-4.430000e-04,3.466667e-03,-1.058667e-04
-4.420000e-04,4.133333e-03,-1.392000e-04
-4.410000e-04,2.800000e-03,-7.600000e-05
-4.400000e-04,1.866667e-03,-2.106667e-04
-4.390000e-04,3.333333e-03,-1.194667e-04
-4.380000e-04,5.200000e-03,-1.432000e-04
-4.370000e-04,3.466667e-03,-1.218667e-04
-4.360000e-04,8.000000e-04,-2.293333e-05
-4.350000e-04,3.333333e-03,-9.786666e-05
-4.340000e-04,5.066667e-03,-1.405333e-04
-4.330000e-04,3.200000e-03,-9.120000e-05
-4.320000e-04,1.200000e-03,-1.408000e-04
-4.310000e-04,3.200000e-03,-5.253333e-05
-4.300000e-04,4.533333e-03,-7.893333e-05
-4.290000e-04,2.666667e-03,-1.386667e-04
-4.280000e-04,6.666667e-04,-1.344000e-04
-4.270000e-04,3.066667e-03,-9.626667e-05
-4.260000e-04,3.600000e-03,-1.586667e-04
-4.250000e-04,3.200000e-03,-1.786667e-05
-4.240000e-04,1.866667e-03,-1.994667e-04
-4.230000e-04,4.533333e-03,-1.490667e-04
-4.220000e-04,3.733333e-03,-5.386666e-05
-4.210000e-04,2.933333e-03,-1.408000e-04
-4.200000e-04,1.200000e-03,-1.370667e-04
-4.190000e-04,3.333333e-03,-8.426666e-05
-4.180000e-04,4.800000e-03,-8.853333e-05
-4.170000e-04,3.200000e-03,-1.610667e-04
-4.160000e-04,1.733333e-03,-1.381333e-04
-4.150000e-04,2.400000e-03,-1.136000e-04
-4.140000e-04,4.266667e-03,-1.221333e-04
-4.130000e-04,3.733333e-03,-1.096000e-04
-4.120000e-04,2.533333e-03,-1.338667e-04
-4.110000e-04,3.600000e-03,-1.072000e-04
-4.100000e-04,5.333333e-03,-8.586667e-05
-4.090000e-04,1.733333e-03,-1.440000e-04
-4.080000e-04,2.133333e-03,-1.216000e-04
-4.070000e-04,1.200000e-03,-1.034667e-04
-4.060000e-04,5.066667e-03,-8.426666e-05
-4.050000e-04,3.200000e-03,-3.173333e-05
-4.040000e-04,9.333334e-04,-1.138667e-04
-4.030000e-04,3.066667e-03,-1.037333e-04
-4.020000e-04,5.066667e-03,-1.586667e-04
-4.010000e-04,1.733333e-03,-7.760000e-05
-4.000000e-04,-6.666667e-04,-1.520000e-04
-3.990000e-04,2.933333e-03,-1.554667e-04
-3.980000e-04,4.933333e-03,-1.112000e-04
-3.970000e-04,3.466667e-03,-6.853333e-05
-3.960000e-04,1.466667e-03,-8.906666e-05
-3.950000e-04,2.933333e-03,-1.245333e-04
-3.940000e-04,5.866667e-03,-1.282667e-04
-3.930000e-04,1.733333e-03,-1.488000e-04
-3.920000e-04,2.133333e-03,-1.437333e-04
-3.910000e-04,2.533333e-03,-1.365333e-04
-3.900000e-04,4.933333e-03,-8.373333e-05
-3.890000e-04,2.133333e-03,-4.053333e-05
-3.880000e-04,2.533333e-03,-8.666667e-05
-3.870000e-04,2.666667e-03,-2.138667e-04
-3.860000e-04,4.133333e-03,-1.592000e-04
-3.850000e-04,2.400000e-03,-1.050667e-04
-3.840000e-04,1.200000e-03,4.506667e-05
-3.830000e-04,2.666667e-03,-1.458667e-04
-3.820000e-04,4.533333e-03,-1.013333e-04
-3.810000e-04,2.933333e-03,-2.941333e-04
-3.800000e-04,9.333334e-04,-1.474667e-04
-3.790000e-04,3.733333e-03,-4.400000e-05
-3.780000e-04,3.866667e-03,-9.840000e-05
-3.770000e-04,3.866667e-03,-9.333333e-05
-3.760000e-04,1.866667e-03,-1.069333e-04
-3.750000e-04,2.933333e-03,-1.485333e-04
-3.740000e-04,3.600000e-03,-1.320000e-04
-3.730000e-04,2.533333e-03,-1.298667e-04
-3.720000e-04,1.200000e-03,-5.813333e-05
-3.710000e-04,2.933333e-03,-1.306667e-04
-3.700000e-04,5.200000e-03,-1.600000e-04
-3.690000e-04,1.866667e-03,-1.109333e-04
-3.680000e-04,2.266667e-03,-6.053333e-05
-3.670000e-04,2.666667e-03,-6.426666e-05
-3.660000e-04,4.533333e-03,-2.042667e-04
-3.650000e-04,3.333333e-03,-1.498667e-04
-3.640000e-04,4.000000e-04,-1.344000e-04
-3.630000e-04,2.800000e-03,-1.552000e-04
-3.620000e-04,3.600000e-03,-1.845333e-04
-3.610000e-04,2.666667e-03,-1.493333e-04
-3.600000e-04,9.333334e-04,-7.653333e-05
-3.590000e-04,2.800000e-03,-1.656000e-04
-3.580000e-04,3.733333e-03,-1.013333e-04
-3.570000e-04,2.933333e-03,-6.720000e-05
-3.560000e-04,1.200000e-03,-8.773333e-05
-3.550000e-04,2.400000e-03,-7.146667e-05
-3.540000e-04,4.933333e-03,-1.557333e-04
-3.530000e-04,1.866667e-03,-1.248000e-04
-3.520000e-04,4.000000e-04,-4.293333e-05
-3.510000e-04,4.266667e-03,-2.040000e-04
-3.500000e-04,4.400000e-03,-1.984000e-04
-3.490000e-04,2.666667e-03,2.933333e-06
-3.480000e-04,1.600000e-03,-5.546667e-05
-3.470000e-04,3.333333e-03,-1.381333e-04
-3.460000e-04,4.400000e-03,-9.199999e-05
-3.450000e-04,2.533333e-03,-1.829333e-04
-3.440000e-04,2.266667e-03,-1.394667e-04
-3.430000e-04,2.533333e-03,-1.456000e-04
-3.420000e-04,3.466667e-03,-1.050667e-04
-3.410000e-04,3.600000e-03,-1.336000e-04
-3.400000e-04,1.333333e-03,-7.466666e-05
-3.390000e-04,2.666667e-03,-1.378667e-04
-3.380000e-04,4.533333e-03,-2.853333e-05
-3.370000e-04,2.666667e-03,-1.496000e-04
-3.360000e-04,6.666667e-04,-1.192000e-04
-3.350000e-04,2.533333e-03,-1.165333e-04
-3.340000e-04,4.800000e-03,-2.186667e-04
