Time(s),CH1V,CH2V
-1.000000e-04,1.466667e-03,-1.040000e-04
-9.980000e-05,1.333333e-03,-1.373333e-04
-9.960000e-05,5.333333e-03,-1.261333e-04
-9.940000e-05,2.933333e-03,-1.504000e-04
-9.920000e-05,1.333333e-04,-1.042667e-04
-9.900000e-05,2.400000e-03,-1.320000e-04
-9.880000e-05,3.600000e-03,-8.053333e-05
-9.860000e-05,2.133333e-03,-1.288000e-04
-9.840000e-05,1.600000e-03,-8.693333e-05
-9.820000e-05,3.200000e-03,-6.133333e-05
-9.800000e-05,4.533333e-03,-8.533333e-05
-9.780000e-05,2.133333e-03,-9.333333e-05
-9.760000e-05,5.333333e-04,-9.653333e-05
-9.740000e-05,3.066667e-03,-9.173333e-05
-9.720000e-05,4.933333e-03,-8.400000e-05
-9.700000e-05,2.400000e-03,-1.704000e-04
-9.680000e-05,6.666667e-04,-1.240000e-04
-9.660000e-05,2.800000e-03,-1.802667e-04
-9.640000e-05,4.800000e-03,-2.584000e-04
-9.620000e-05,2.133333e-03,-1.728000e-04
-9.600000e-05,8.000000e-04,-1.981333e-04
-9.580000e-05,2.933333e-03,-2.002667e-04
-9.560000e-05,4.400000e-03,-1.192000e-04
-9.540000e-05,2.933333e-03,-1.402667e-04
-9.520000e-05,2.133333e-03,-9.653333e-05
-9.500000e-05,3.333333e-03,-8.426666e-05
-9.480000e-05,5.466667e-03,-1.306667e-04
-9.460000e-05,3.066667e-03,-2.032000e-04
-9.440000e-05,8.000000e-04,-1.605333e-04
-9.420000e-05,3.200000e-03,-1.112000e-04
-9.400000e-05,5.066667e-03,-1.160000e-04
-9.380000e-05,3.466667e-03,-5.200000e-05
-9.360000e-05,-2.666667e-04,2.933333e-06
-9.340000e-05,2.533333e-03,-2.666667e-05
-9.320000e-05,5.866667e-03,1.600000e-06
-9.300000e-05,3.466667e-03,-2.106667e-05
-9.280000e-05,2.666667e-04,-6.160000e-05
-9.260000e-05,3.200000e-03,-3.680000e-05
-9.240000e-05,4.933333e-03,-4.000000e-06
-9.220000e-05,2.933333e-03,-8.906666e-05
-9.200000e-05,6.666667e-04,-1.264000e-04
-9.180000e-05,3.066667e-03,-1.549333e-04
-9.160000e-05,5.200000e-03,-1.496000e-04
-9.140000e-05,2.266667e-03,-2.053333e-04
-9.120000e-05,9.333334e-04,-1.637333e-04
-9.100000e-05,2.400000e-03,-1.941333e-04
-9.080000e-05,4.533333e-03,-1.781333e-04
-9.060000e-05,3.466667e-03,-1.842667e-04
-9.040000e-05,1.333333e-04,-2.320000e-04
-9.020000e-05,2.933333e-03,-1.733333e-04
-9.000000e-05,6.000000e-03,-1.698667e-04
-8.980000e-05,2.800000e-03,-1.917333e-04
-8.960000e-05,1.200000e-03,-1.848000e-04
-8.940000e-05,2.533333e-03,-1.176000e-04
-8.920000e-05,5.333333e-03,-1.298667e-04
-8.900000e-05,2.133333e-03,-1.565333e-04
-8.880000e-05,1.333333e-03,-1.088000e-04
-8.860000e-05,2.533333e-03,-6.213333e-05
-8.840000e-05,5.200000e-03,-1.026667e-04
-8.820000e-05,1.866667e-03,-4.426666e-05
-8.800000e-05,8.000000e-04,-5.226667e-05
-8.780000e-05,2.933333e-03,-6.826667e-05
