Time(s),CH1V,CH2V
-2.500000e-01,4.991734e+00,3.049333e+00
-2.495000e-01,4.987467e+00,3.032267e+00
-2.490000e-01,4.974133e+00,3.015200e+00
-2.485000e-01,4.969867e+00,2.993600e+00
-2.480000e-01,4.974133e+00,2.972267e+00
-2.475000e-01,4.965333e+00,2.980800e+00
-2.470000e-01,4.974133e+00,2.933867e+00
-2.465000e-01,4.987467e+00,2.933867e+00
-2.460000e-01,4.969867e+00,2.899733e+00
-2.455000e-01,4.969867e+00,2.878400e+00
-2.450000e-01,4.982934e+00,2.861333e+00
-2.445000e-01,4.991734e+00,2.857067e+00
-2.440000e-01,4.978667e+00,2.818667e+00
-2.435000e-01,4.991734e+00,2.793067e+00
-2.430000e-01,4.969867e+00,2.788800e+00
-2.425000e-01,4.974133e+00,2.776000e+00
-2.420000e-01,4.978667e+00,2.754667e+00
-2.415000e-01,4.961067e+00,2.733333e+00
-2.410000e-01,4.969867e+00,2.694667e+00
-2.405000e-01,4.969867e+00,2.681867e+00
-2.400000e-01,4.982934e+00,2.681867e+00
-2.395000e-01,4.978667e+00,2.660533e+00
-2.390000e-01,5.000534e+00,2.639200e+00
-2.385000e-01,4.982934e+00,2.626400e+00
-2.380000e-01,4.969867e+00,2.609333e+00
-2.375000e-01,4.978667e+00,2.583733e+00
-2.370000e-01,4.978667e+00,2.549600e+00
-2.365000e-01,4.974133e+00,2.536800e+00
-2.360000e-01,4.978667e+00,2.519733e+00
-2.355000e-01,4.969867e+00,2.528267e+00
-2.350000e-01,4.987467e+00,2.498400e+00
-2.345000e-01,4.974133e+00,2.451200e+00
-2.340000e-01,4.974133e+00,2.442667e+00
-2.335000e-01,4.978667e+00,2.417067e+00
-2.330000e-01,5.000534e+00,2.378667e+00
-2.325000e-01,4.978667e+00,2.370133e+00
-2.320000e-01,4.982934e+00,2.348800e+00
-2.315000e-01,4.978667e+00,2.336000e+00
-2.310000e-01,4.969867e+00,2.297600e+00
-2.305000e-01,4.969867e+00,2.306133e+00
-2.300000e-01,4.969867e+00,2.276267e+00
-2.295000e-01,4.991734e+00,2.233600e+00
-2.290000e-01,4.974133e+00,2.225067e+00
-2.285000e-01,4.982934e+00,2.216533e+00
-2.280000e-01,4.961067e+00,2.190933e+00
-2.275000e-01,4.969867e+00,2.156533e+00
-2.270000e-01,5.000534e+00,2.139467e+00
-2.265000e-01,4.969867e+00,2.126667e+00
-2.260000e-01,4.982934e+00,2.105333e+00
-2.255000e-01,4.961067e+00,2.071200e+00
-2.250000e-01,4.961067e+00,2.088267e+00
-2.245000e-01,5.000534e+00,2.049867e+00
-2.240000e-01,4.987467e+00,2.037067e+00
-2.235000e-01,4.991734e+00,1.998667e+00
-2.230000e-01,4.978667e+00,2.002933e+00
