Time(s),CH1V,CH2V
-2.500000e-04,4.969600e+00,1.110133e+00
-2.495000e-04,4.976000e+00,1.075733e+00
-2.490000e-04,4.960800e+00,1.067200e+00
-2.485000e-04,4.945333e+00,1.033067e+00
-2.480000e-04,4.907733e+00,9.818667e-01
-2.475000e-04,4.949600e+00,9.712000e-01
-2.470000e-04,4.987200e+00,9.349334e-01
-2.465000e-04,4.954134e+00,9.136000e-01
-2.460000e-04,4.727200e+00,9.008000e-01
-2.455000e-04,4.300000e+00,8.666667e-01
-2.450000e-04,3.736267e+00,8.581333e-01
-2.445000e-04,2.978933e+00,8.109334e-01
-2.440000e-04,2.225600e+00,7.597333e-01
-2.435000e-04,1.655467e+00,7.874667e-01
-2.430000e-04,1.283200e+00,7.938667e-01
-2.425000e-04,9.288000e-01,8.066667e-01
-2.420000e-04,6.973333e-01,8.368000e-01
-2.415000e-04,5.016000e-01,8.837333e-01
-2.410000e-04,3.848000e-01,9.093333e-01
-2.405000e-04,2.525333e-01,9.349334e-01
-2.400000e-04,1.381333e-01,9.392000e-01
-2.395000e-04,1.138667e-01,9.925333e-01
-2.390000e-04,8.533333e-02,1.028800e+00
-2.385000e-04,5.653333e-02,1.069333e+00
-2.380000e-04,1.920000e-02,1.097333e+00
-2.375000e-04,1.600000e-03,1.146400e+00
-2.370000e-04,1.040000e-02,1.208267e+00
-2.365000e-04,-3.813333e-02,1.231733e+00
-2.360000e-04,-5.120000e-02,1.268000e+00
-2.355000e-04,-4.693333e-02,1.280800e+00
-2.350000e-04,-2.480000e-02,1.323467e+00
-2.345000e-04,-9.333333e-03,1.377067e+00
-2.340000e-04,-5.120000e-02,1.409067e+00
-2.335000e-04,-2.933333e-02,1.460267e+00
-2.330000e-04,-2.933333e-02,1.511467e+00
-2.325000e-04,-7.333333e-02,1.524267e+00
-2.320000e-04,-9.520000e-02,1.558400e+00
-2.315000e-04,-7.120000e-02,1.601067e+00
-2.310000e-04,-4.240000e-02,1.626667e+00
-2.305000e-04,-3.813333e-02,1.695200e+00
-2.300000e-04,-4.240000e-02,1.720800e+00
-2.295000e-04,-4.026667e-02,1.759200e+00
-2.290000e-04,-2.480000e-02,1.814667e+00
-2.285000e-04,-5.786667e-02,1.838133e+00
-2.280000e-04,-8.640000e-02,1.870133e+00
-2.275000e-04,-4.693333e-02,1.908533e+00
-2.270000e-04,-3.360000e-02,1.964267e+00
-2.265000e-04,-2.933333e-02,1.994133e+00
-2.260000e-04,-2.933333e-02,2.028267e+00
-2.255000e-04,-4.026667e-02,2.085867e+00
-2.250000e-04,-1.600000e-02,2.105067e+00
-2.245000e-04,-6.453333e-02,2.158400e+00
-2.240000e-04,-8.213334e-02,2.186133e+00
-2.235000e-04,-4.906667e-02,2.226933e+00
-2.230000e-04,-1.600000e-02,2.258933e+00
-2.225000e-04,-1.386667e-02,2.299467e+00
-2.220000e-04,-2.933333e-02,2.322933e+00
-2.215000e-04,-3.573333e-02,2.391200e+00
-2.210000e-04,-1.600000e-02,2.446667e+00
-2.205000e-04,-5.573333e-02,2.466133e+00
-2.200000e-04,-7.760000e-02,2.498133e+00
-2.195000e-04,-4.906667e-02,2.528000e+00
-2.190000e-04,-2.053333e-02,2.562133e+00
-2.185000e-04,-2.693333e-02,2.602667e+00
-2.180000e-04,-5.120000e-02,2.630400e+00
-2.175000e-04,-2.266667e-02,2.677333e+00
-2.170000e-04,-1.600000e-02,2.741600e+00
-2.165000e-04,-4.240000e-02,2.769333e+00
-2.160000e-04,-6.880000e-02,2.788533e+00
-2.155000e-04,-4.026667e-02,2.829067e+00
-2.150000e-04,-1.600000e-02,2.873867e+00
-2.145000e-04,-2.053333e-02,2.912267e+00
-2.140000e-04,-2.480000e-02,2.946400e+00
-2.135000e-04,-2.693333e-02,2.997600e+00
-2.130000e-04,-1.600000e-02,3.036267e+00
-2.125000e-04,-3.813333e-02,3.074667e+00
-2.120000e-04,-6.000000e-02,3.100267e+00
-2.115000e-04,-4.693333e-02,3.142933e+00
-2.110000e-04,-1.173333e-02,3.185600e+00
-2.105000e-04,-3.146667e-02,3.217600e+00
-2.100000e-04,-2.933333e-02,3.245333e+00
-2.095000e-04,-1.600000e-02,3.281867e+00
-2.090000e-04,-2.933333e-02,3.339467e+00
-2.085000e-04,-2.693333e-02,3.377867e+00
-2.080000e-04,-7.333333e-02,3.377867e+00
-2.075000e-04,-3.573333e-02,3.441867e+00
-2.070000e-04,-1.600000e-02,3.467467e+00
-2.065000e-04,-2.266667e-02,3.493067e+00
-2.060000e-04,-2.933333e-02,3.544267e+00
-2.055000e-04,-1.600000e-02,3.602133e+00
